variant,study_name,trial,state,value,failure_class,worker_status,worker_message_short,latest_step,total_steps,training_complete,batch_size_train,batch_size_eval,val_microbatch_size,memory_cleanup_every_steps,datetime_start,datetime_complete,param_learning_rate_schedule,param_learning_rate,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_learning_rate_polynomial_power
shallow_d256_b2_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_shallow_d256_b2_r2,4,COMPLETE,-1.2644127111170669,,complete,,12000,12000,True,32,32,16,100,2026-06-28T11:40:22.448236+00:00,2026-06-28T13:19:33.422382+00:00,cosine_decay,0.0006365026066087508,3.7197425572222765e-06,0.2822556432388877,0.5,0.008310248401180255,0.36424237701172735,0.75,0.021147713205237145,
shallow_d256_b2_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_shallow_d256_b2_r2,5,COMPLETE,-1.2575688642884022,,complete,,12000,12000,True,32,32,16,100,2026-06-28T13:19:33.674955+00:00,2026-06-28T14:57:44.998275+00:00,cosine_decay,0.0004568972058255479,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,0.75,0.02308016679308127,
deep_d256_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_deep_d256_b6_r2,0,COMPLETE,-1.37248616286928,,complete,,12000,12000,True,32,32,16,100,2026-06-28T06:02:30.476603+00:00,2026-06-28T08:33:56.144551+00:00,constant,0.0009175824708006568,4.091012719746439e-07,0.48436560251525473,0.5,0.0454684464868393,0.3460995726258102,,,
deep_d256_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_deep_d256_b6_r2,1,COMPLETE,-1.3884269695883071,,complete,,12000,12000,True,32,32,16,100,2026-06-28T08:33:56.350803+00:00,2026-06-28T11:04:27.915401+00:00,polynomial_decay,0.0009592546085393783,1.1466706433076556e-07,0.30075331676229844,0.5,0.08782697630221006,0.3505540117207723,1.25,0.1311613586599023,1.9583023083951345
deep_d256_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_deep_d256_b6_r2,2,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",6277,12000,False,32,32,16,100,2026-06-28T11:04:28.201812+00:00,2026-06-28T12:23:19.275142+00:00,constant,0.0009643418646698049,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,,,
deep_d256_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_deep_d256_b6_r2,3,COMPLETE,-1.3784573721617255,,complete,,12000,12000,True,32,32,16,100,2026-06-28T12:23:19.448351+00:00,2026-06-28T14:55:50.153579+00:00,polynomial_decay,0.0009951575462592785,1.1859701871838162e-07,0.12057887170216385,0.5,0.1079493254225414,0.37019936326045155,1.0,0.1285119138898518,1.955717493414353
deep_d256_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_deep_d256_b6_r2,4,COMPLETE,-1.33862106359913,,complete,,12000,12000,True,32,32,16,100,2026-06-28T14:55:50.386905+00:00,2026-06-28T17:28:10.920673+00:00,cosine_decay,0.0011389546245759569,2.2392225291228357e-07,0.14471917040146945,0.5,0.05381820569592541,0.5140994248971258,0.75,0.05727073689446709,
deep_d256_b6_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_deep_d256_b6_r2,5,COMPLETE,-1.3057700441346645,,complete,,12000,12000,True,32,32,16,100,2026-06-28T17:28:11.447096+00:00,2026-06-28T20:00:52.800632+00:00,cosine_decay,0.0004568972058255479,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,0.75,0.02308016679308127,
narrow_d192_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_narrow_d192_b4_r2,0,COMPLETE,-1.2765089529477573,,complete,,12000,12000,True,32,32,16,100,2026-06-28T06:03:38.412303+00:00,2026-06-28T07:57:20.946263+00:00,cosine_decay,0.0011491657621620945,2.7524556084291565e-07,0.33237260946602054,0.5,0.008215714857985945,0.6176862463506574,1.0,0.12314726850796402,
narrow_d192_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_narrow_d192_b4_r2,1,COMPLETE,-1.265210729471441,,complete,,12000,12000,True,32,32,16,100,2026-06-28T07:57:21.091954+00:00,2026-06-28T09:52:22.288895+00:00,constant,0.0008722091201558823,2.363899423796963e-06,0.36833494384383136,0.5,7.216382532542441e-05,0.6586559871326637,,,
