variant,trial,state,value,is_warm_start,source_domain,purpose,last_step,last_val_nmse_prop,last_val_nmse_ls,last_val_nmse_ratio,best_val_nmse_prop,best_val_nmse_ls,best_val_nmse_ratio,best_nmse_step,param_learning_rate_schedule,param_learning_rate,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_polynomial_power
main_d256_b4_r2,0,COMPLETE,-1.219111235329411,True,cdl_c,UMi Stage-A warm start,4000,0.06581489344049866,0.11423495997829984,0.5761361797912032,0.06581489344049866,0.11423495997829984,0.5761361797912032,4000,cosine_decay,0.0005712916127949584,1.25,0.02159904793462117,9.654662480652895e-06,0.4788048920718949,0.5,0.02639429712150497,0.18647863554958427,
main_d256_b4_r2,1,COMPLETE,-1.170263318665806,False,,,4000,0.07328102157528822,0.11423495997829984,0.6414938263138424,0.07328102157528822,0.11423495997829984,0.6414938263138424,4000,cosine_decay,0.0004983159357242532,0.75,0.012154545064008537,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,
main_d256_b4_r2,2,COMPLETE,-1.228737026405716,False,,,4000,0.06355058215558529,0.11423495997829984,0.5563146533045349,0.06355058215558529,0.11423495997829984,0.5563146533045349,4000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
main_d256_b4_r2,3,COMPLETE,-1.1556840892870803,False,,,4000,0.07513000920880586,0.11423495997829984,0.6576796562372641,0.07513000920880586,0.11423495997829984,0.6576796562372641,4000,cosine_decay,0.0002210893178410695,1.0,0.036430683993363126,1.613671536589336e-06,0.3169058880316735,0.5,0.03312588579968341,0.4217057595278402,
main_d256_b4_r2,4,COMPLETE,-1.1288984495179917,False,,,4000,0.07840095041319728,0.11423495997829984,0.686313107897008,0.07840095041319728,0.11423495997829984,0.686313107897008,4000,cosine_decay,0.0002150875602723823,1.25,0.016301500139320635,2.795475110283828e-05,0.09844608545417897,1.0,0.049786317412733185,0.1508561283376549,
main_d256_b4_r2,5,COMPLETE,-1.1861996388515204,False,,,4000,0.0711654974729754,0.11423495997829984,0.6229747661004482,0.0711654974729754,0.11423495997829984,0.6229747661004482,4000,cosine_decay,0.0004568972058255479,0.75,0.02308016679308127,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,
main_d256_b4_r2,6,PRUNED,-1.0722177592698985,False,,,1000,0.0880471965065226,0.106999559502583,0.8228743829959142,0.0880471965065226,0.106999559502583,0.8228743829959142,1000,polynomial_decay,0.0005282942092946875,0.75,0.024074361764179382,3.5182369647795597e-07,0.0963980983750926,2.0,0.06268681536019342,0.42637817769796615,1.0905445756134515
main_d256_b4_r2,7,PRUNED,-1.1982230978781396,False,,,4000,0.06924437840158741,0.11423495997829984,0.6061575056772561,0.06924437840158741,0.11423495997829984,0.6061575056772561,4000,cosine_decay,0.0006365026066087508,0.75,0.021147713205237145,3.7197425572222765e-06,0.2822556432388877,0.5,0.008310248401180255,0.36424237701172735,
main_d256_b4_r2,8,PRUNED,-1.1162227034969998,False,,,1000,0.0809179264664029,0.106999559502583,0.7562454167341645,0.0809179264664029,0.106999559502583,0.7562454167341645,1000,constant,0.0005809397231941362,,,1.912227231393291e-07,0.3089601517759952,0.5,0.11304439362235329,0.15372369184136675,
main_d256_b4_r2,9,PRUNED,-1.1557707162043007,False,,,2000,0.07175911666126922,0.11365742143243551,0.6313632295795744,0.07175911666126922,0.11365742143243551,0.6313632295795744,2000,constant,0.0011846756846122385,,,7.935803724335564e-07,0.06211526700128886,0.5,0.09701928945187067,0.3136992083000011,
