log_file,job,task,variant,mode,host,gpu_name,gpu_mem_total_mib,trial,last_step_seen,num_step_log_lines,max_current_gib,max_peak_gib,oom_count,gpucheck_pass,gpucheck_fail
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_3.out,15017370,3,narrow_d192_b4_r2,lowmem_batch16,rg31606,NVIDIA H100 80GB HBM3,81559,4,12000,121,0.1,2.84,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_3.out,15017370,3,narrow_d192_b4_r2,lowmem_batch16,rg31606,NVIDIA H100 80GB HBM3,81559,5,12000,121,0.1,2.84,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_4.out,15017370,4,wide_d320_b4_r2,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,0,11200,113,0.15,4.45,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_4.out,15017370,4,wide_d320_b4_r2,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,1,12000,121,0.15,4.45,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_4.out,15017370,4,wide_d320_b4_r2,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,2,12000,121,0.15,4.45,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_4.out,15017370,4,wide_d320_b4_r2,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,3,10500,106,0.15,4.45,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_4.out,15017370,4,wide_d320_b4_r2,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,4,12000,121,0.15,4.45,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_4.out,15017370,4,wide_d320_b4_r2,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,5,12000,121,0.15,4.45,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_5.out,15017370,5,wide_deep_d320_b6_r2,lowmem_batch16,rg31608,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.19,6.59,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_5.out,15017370,5,wide_deep_d320_b6_r2,lowmem_batch16,rg31608,NVIDIA H100 80GB HBM3,81559,1,8600,87,0.19,6.59,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_5.out,15017370,5,wide_deep_d320_b6_r2,lowmem_batch16,rg31608,NVIDIA H100 80GB HBM3,81559,2,5800,59,0.19,6.59,2,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_5.out,15017370,5,wide_deep_d320_b6_r2,lowmem_batch16,rg31608,NVIDIA H100 80GB HBM3,81559,3,8500,86,0.19,6.59,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_5.out,15017370,5,wide_deep_d320_b6_r2,lowmem_batch16,rg31608,NVIDIA H100 80GB HBM3,81559,4,12000,121,0.19,6.59,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_5.out,15017370,5,wide_deep_d320_b6_r2,lowmem_batch16,rg31608,NVIDIA H100 80GB HBM3,81559,5,12000,121,0.19,6.59,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_6.out,15017370,6,mlpwide_d256_b4_r4,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,0,7400,75,0.13,4.35,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_6.out,15017370,6,mlpwide_d256_b4_r4,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,1,12000,121,0.13,4.35,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_6.out,15017370,6,mlpwide_d256_b4_r4,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,2,12000,121,0.13,4.35,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_6.out,15017370,6,mlpwide_d256_b4_r4,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,3,12000,121,0.13,4.35,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_6.out,15017370,6,mlpwide_d256_b4_r4,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,4,8400,85,0.13,4.35,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-lm_15017370_6.out,15017370,6,mlpwide_d256_b4_r4,lowmem_batch16,rg31603,NVIDIA H100 80GB HBM3,81559,5,12000,121,0.13,4.35,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-ulm_15051328_4.out,15051328,4,wide_d320_b4_r2,ultralow_batch8,rg21807,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.12,2.28,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-ulm_15051328_4.out,15051328,4,wide_d320_b4_r2,ultralow_batch8,rg21807,NVIDIA H100 80GB HBM3,81559,1,2900,30,0.12,2.28,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-ulm_15051328_5.out,15051328,5,wide_deep_d320_b6_r2,ultralow_batch8,rg31503,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.16,3.38,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-ulm_15051328_6.out,15051328,6,mlpwide_d256_b4_r4,ultralow_batch8,rg31501,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.11,2.23,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB-ulm_15051328_6.out,15051328,6,mlpwide_d256_b4_r4,ultralow_batch8,rg31501,NVIDIA H100 80GB HBM3,81559,1,3400,35,0.11,2.23,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_0.out,14858427,0,main_d256_b4_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.16,7.2,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_0.out,14858427,0,main_d256_b4_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,1,8200,83,0.16,7.2,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_0.out,14858427,0,main_d256_b4_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,2,5300,54,0.16,7.2,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_0.out,14858427,0,main_d256_b4_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,3,7300,74,0.16,7.2,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_0.out,14858427,0,main_d256_b4_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,4,12000,121,0.16,7.2,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_0.out,14858427,0,main_d256_b4_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,5,6500,66,0.16,7.2,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_1.out,14858427,1,shallow_d256_b2_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.13,3.76,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_1.out,14858427,1,shallow_d256_b2_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,1,12000,121,0.13,3.76,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_1.out,14858427,1,shallow_d256_b2_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,2,12000,121,0.13,3.76,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_1.out,14858427,1,shallow_d256_b2_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,3,7900,80,0.13,3.76,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_1.out,14858427,1,shallow_d256_b2_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,4,12000,121,0.13,3.76,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_1.out,14858427,1,shallow_d256_b2_r2,batch32,rg31605,NVIDIA H100 80GB HBM3,81559,5,12000,121,0.13,3.76,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_2.out,14858427,2,deep_d256_b6_r2,batch32,rg21701,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.19,10.63,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_2.out,14858427,2,deep_d256_b6_r2,batch32,rg21701,NVIDIA H100 80GB HBM3,81559,1,12000,121,0.19,10.63,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_2.out,14858427,2,deep_d256_b6_r2,batch32,rg21701,NVIDIA H100 80GB HBM3,81559,2,6200,63,0.19,10.63,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_2.out,14858427,2,deep_d256_b6_r2,batch32,rg21701,NVIDIA H100 80GB HBM3,81559,3,12000,121,0.19,10.63,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_2.out,14858427,2,deep_d256_b6_r2,batch32,rg21701,NVIDIA H100 80GB HBM3,81559,4,12000,121,0.19,10.63,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_2.out,14858427,2,deep_d256_b6_r2,batch32,rg21701,NVIDIA H100 80GB HBM3,81559,5,12000,121,0.19,10.63,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_3.out,14858427,3,narrow_d192_b4_r2,batch32,rg21803,NVIDIA H100 80GB HBM3,81559,0,12000,121,0.14,5.62,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_3.out,14858427,3,narrow_d192_b4_r2,batch32,rg21803,NVIDIA H100 80GB HBM3,81559,1,12000,121,0.14,5.62,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_3.out,14858427,3,narrow_d192_b4_r2,batch32,rg21803,NVIDIA H100 80GB HBM3,81559,2,8300,84,0.14,5.62,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_3.out,14858427,3,narrow_d192_b4_r2,batch32,rg21803,NVIDIA H100 80GB HBM3,81559,3,7100,72,0.14,5.62,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_3.out,14858427,3,narrow_d192_b4_r2,batch32,rg21803,NVIDIA H100 80GB HBM3,81559,4,12000,121,0.14,5.62,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_3.out,14858427,3,narrow_d192_b4_r2,batch32,rg21803,NVIDIA H100 80GB HBM3,81559,5,12000,121,0.14,5.62,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_4.out,14858427,4,wide_d320_b4_r2,batch32,rg21708,NVIDIA H100 80GB HBM3,81559,0,6000,61,0.19,8.78,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_4.out,14858427,4,wide_d320_b4_r2,batch32,rg21708,NVIDIA H100 80GB HBM3,81559,1,3600,37,0.19,8.78,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_4.out,14858427,4,wide_d320_b4_r2,batch32,rg21708,NVIDIA H100 80GB HBM3,81559,2,7900,80,0.19,8.78,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_4.out,14858427,4,wide_d320_b4_r2,batch32,rg21708,NVIDIA H100 80GB HBM3,81559,3,9100,92,0.19,8.78,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_4.out,14858427,4,wide_d320_b4_r2,batch32,rg21708,NVIDIA H100 80GB HBM3,81559,4,5200,53,0.19,8.78,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_4.out,14858427,4,wide_d320_b4_r2,batch32,rg21708,NVIDIA H100 80GB HBM3,81559,5,10800,109,0.19,8.78,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_5.out,14858427,5,wide_deep_d320_b6_r2,batch32,rg31608,NVIDIA H100 80GB HBM3,81559,0,9500,96,0.23,13.0,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_5.out,14858427,5,wide_deep_d320_b6_r2,batch32,rg31608,NVIDIA H100 80GB HBM3,81559,1,4800,49,0.23,13.0,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_5.out,14858427,5,wide_deep_d320_b6_r2,batch32,rg31608,NVIDIA H100 80GB HBM3,81559,2,12000,121,0.23,13.0,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_5.out,14858427,5,wide_deep_d320_b6_r2,batch32,rg31608,NVIDIA H100 80GB HBM3,81559,3,5600,57,0.23,13.0,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_5.out,14858427,5,wide_deep_d320_b6_r2,batch32,rg31608,NVIDIA H100 80GB HBM3,81559,4,6500,66,0.23,13.0,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_5.out,14858427,5,wide_deep_d320_b6_r2,batch32,rg31608,NVIDIA H100 80GB HBM3,81559,5,5200,53,0.23,13.0,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_6.out,14858427,6,mlpwide_d256_b4_r4,batch32,rg21805,NVIDIA H100 80GB HBM3,81559,0,6400,65,0.17,8.61,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_6.out,14858427,6,mlpwide_d256_b4_r4,batch32,rg21805,NVIDIA H100 80GB HBM3,81559,1,11100,112,0.17,8.61,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_6.out,14858427,6,mlpwide_d256_b4_r4,batch32,rg21805,NVIDIA H100 80GB HBM3,81559,2,3800,39,0.17,8.61,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_6.out,14858427,6,mlpwide_d256_b4_r4,batch32,rg21805,NVIDIA H100 80GB HBM3,81559,3,12000,121,0.17,8.61,0,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_6.out,14858427,6,mlpwide_d256_b4_r4,batch32,rg21805,NVIDIA H100 80GB HBM3,81559,4,4000,41,0.17,8.61,1,1,0
/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/logs/umi_training/umi-optB_14858427_6.out,14858427,6,mlpwide_d256_b4_r4,batch32,rg21805,NVIDIA H100 80GB HBM3,81559,5,8400,85,0.17,8.61,1,1,0
