variant,stageA_completed,stageB_completed,stageA_best_trial,stageA_best_value,stageB_best_trial,stageB_best_value,stageB_best_matched_stageA_trial,stageB_best_matched_stageA_rank,stageB_best_matched_stageA_value,stageB_minus_stageA_global_delta_log,stageB_global_objective_factor,stageB_global_percent_lower,stageB_same_candidate_delta_log,stageB_same_candidate_factor,stageB_same_candidate_percent_lower,stageB_helped_vs_stageA_best,stageB_helped_same_candidate,stageB_batch_size_train,stageB_batch_size_eval,stageB_val_microbatch_size
main_d256_b4_r2,7,6,10,-1.2349350165381505,1,-1.295573761626451,2,2,-1.228737026405716,0.06063874508830058,1.149843527987444,13.03164511868089,0.06683673522073508,1.1663710595388928,14.263990706753738,True,True,16,16,8
shallow_d256_b2_r2,9,6,9,-1.197258733338216,2,-1.23942173387408,17,3,-1.1896158423642766,0.04216300053586397,1.1019528197385218,9.252013145418857,0.04980589150980341,1.1215170787308748,10.835062705276444,True,True,16,16,8
deep_d256_b6_r2,9,6,18,-1.2473931992286345,2,-1.3091360929449192,2,3,-1.24266474104019,0.06174289371628472,1.1527706050886743,13.252472297116114,0.06647135190472908,1.1653901737151175,14.19182840609291,True,True,16,16,8
narrow_d192_b4_r2,9,6,18,-1.211141350357238,0,-1.2536459152209611,18,1,-1.211141350357238,0.042504564863723227,1.1028198255136583,9.32335664765258,0.042504564863723227,1.1028198255136583,9.32335664765258,True,True,16,16,8
