variant,warm_trial,warm_state,warm_value,warm_rank_among_completed,best_trial,best_value,best_state,delta_log_warm_minus_best,objective_factor_best_vs_warm,objective_percent_lower_than_warm,stageA_improved_over_warm,completed_trials,pruned_trials,failed_trials
main_d256_b4_r2,0,COMPLETE,-1.219111235329411,3,10,-1.2349350165381505,COMPLETE,0.015823781208739618,1.0371075149704923,3.5779814951536704,True,7,13,0
shallow_d256_b2_r2,0,COMPLETE,-1.1927763999585972,2,9,-1.197258733338216,COMPLETE,0.004482333379618897,1.0103743987764024,1.0267875738900534,True,9,11,0
deep_d256_b6_r2,0,COMPLETE,-1.2317815080026802,5,18,-1.2473931992286345,COMPLETE,0.015611691225954294,1.0366011617388362,3.5308817981102747,True,9,11,0
narrow_d192_b4_r2,0,COMPLETE,-1.2021250553824823,2,18,-1.211141350357238,COMPLETE,0.009016294974755645,1.0209777906535673,2.0546764920457927,True,9,11,0
wide_d320_b4_r2,0,COMPLETE,-1.2395071724697608,3,2,-1.249177934830509,COMPLETE,0.009670762360748153,1.022517530212284,2.2021656887984187,True,8,12,0
wide_deep_d320_b6_r2,0,COMPLETE,-1.2549651835621638,5,2,-1.2640920048902577,COMPLETE,0.009126821328093948,1.0212376588243008,2.0796000461587694,True,9,11,0
mlpwide_d256_b4_r4,0,COMPLETE,-1.23451127036228,1,0,-1.23451127036228,COMPLETE,0.0,1.0,0.0,False,8,12,0
