receiver,variant,dmrs_case,seed,training_seed,num_users,ebno_db,num_chunks,chunk_indices,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,point_elapsed_s,data_elapsed_s,receiver_elapsed_s,ber,bler,nmse,mc_stop_reason,target_bler_floor,bler_zero_error_upper_bound,ber_zero_error_upper_bound,receiver_ms_per_batch,receiver_ms_per_frame,reliable_ber,reliable_bler,source,mtime
perfect_csi_lmmse,main_d256_b4_r2,1dmrs,7,7,3,-1.0,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",507,342835200,9,115200,600,3027.95858890051,1116.41453814134,1608.8709131306969,1.4788446460573476e-06,7.8125e-05,,isolated_chunk_merge,,,,2681.451521884495,13.96589334314841,False,False,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_perfect_csi_lmmse_em1.csv,1782148813.8611026
perfect_csi_lmmse,main_d256_b4_r2,1dmrs,7,7,3,0.0,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",51,342835200,1,115200,600,3089.308036915958,1122.0337257673964,1615.5453881807623,1.48759520609319e-07,8.680555555555556e-06,,isolated_chunk_merge,,,,2692.5756469679377,14.023831494624677,False,False,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_perfect_csi_lmmse_e0.csv,1782148846.8460505
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,-4.0,1,0,78794,11427840,424,3840,20,210.22698843106627,58.123725255951285,131.94615351222456,0.0068949162746415,0.1104166666666666,,isolated_chunk_merge,,,,6597.307675611228,34.36097747714181,True,True,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_em4.csv,1781078752.6201885
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,-3.0,1,0,21379,11427840,121,3840,20,211.4086953215301,58.419412691146135,132.27217321377248,0.0018707822300627,0.0315104166666666,,isolated_chunk_merge,,,,6613.608660688624,34.445878441086585,True,True,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_em3.csv,1781079003.9937046
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,-2.0,4,"0,1,2,3",13522,45711360,106,15360,80,844.1227540764958,233.12787948548797,529.077395575121,0.0002958126820116,0.0069010416666666,,isolated_chunk_merge,,,,6613.467444689013,34.44514294108861,True,True,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_em2.csv,1781079996.6791708
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,-1.0,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",15903,205701120,101,69120,360,3821.2796935401857,1051.2953891716895,2399.217055326328,7.731119791666666e-05,0.0014612268518518,,isolated_chunk_merge,,,,6664.491820350911,34.71089489766099,True,True,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_em1.csv,1781084418.7970455
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,0.0,99,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98",14317,1131356160,100,380160,1980,21007.12938843016,5795.585211828351,13173.723434438927,1.265472404375294e-05,0.0002630471380471,,isolated_chunk_merge,,,,6653.395673959055,34.653102468536744,True,True,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_e0.csv,1781108862.7217195
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,1.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",1298,1142784000,14,384000,2000,21332.462866602466,5893.936613072641,13422.110879684798,1.1358226926523297e-06,3.6458333333333336e-05,,isolated_chunk_merge,,,,6711.055439842399,34.95341374917916,True,False,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_e1.csv,1781135606.312012
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,2.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",318,1142784000,4,384000,2000,21041.02529962733,5869.375332901254,13453.324093685484,2.78267809139785e-07,1.0416666666666666e-05,,isolated_chunk_merge,,,,6726.662046842743,35.03469816063929,False,False,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_e2.csv,1781160181.5252182
upair5g_lmmse,main_d256_b4_r2,1dmrs,7,7,3,3.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",1,1142784000,1,384000,2000,20346.055030280724,5765.299270102754,13125.431024308316,8.750560035842294e-10,2.6041666666666666e-06,,isolated_chunk_merge,,,,6562.715512154158,34.18080995913624,False,False,_isolated_eval_chunks/merged_main_d256_b4_r2_u3_upair5g_lmmse_e3.csv,1781183753.4817135
